date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:01:17	6819/6819	---M--	200	added ('OK')	image/jpeg	etag:%221aa3-5dea1baf29131%22	https://templates.iqonic.design/yofit/html/assets/images/profile/06.jpg	C:/Users/ABINASH%20DASH/Desktop/Add/admin/templates.iqonic.design/yofit/html/assets/images/profile/06.jpg	(from https://templates.iqonic.design/yofit/html/backend/trainers.html)
12:01:17	6504/6504	---M--	200	added ('OK')	image/jpeg	etag:%221968-5dea1baf29131%22	https://templates.iqonic.design/yofit/html/assets/images/profile/02.jpg	C:/Users/ABINASH%20DASH/Desktop/Add/admin/templates.iqonic.design/yofit/html/assets/images/profile/02.jpg	(from https://templates.iqonic.design/yofit/html/backend/trainers.html)
12:01:17	5558/5558	---M--	200	added ('OK')	image/jpeg	etag:%2215b6-5dea1baf29131%22	https://templates.iqonic.design/yofit/html/assets/images/profile/01.jpg	C:/Users/ABINASH%20DASH/Desktop/Add/admin/templates.iqonic.design/yofit/html/assets/images/profile/01.jpg	(from https://templates.iqonic.design/yofit/html/backend/trainers.html)
12:01:18	6880/6880	---M-Z	200	added ('OK')	application/javascript	etag:%221ae0-5dea1baf30e31-gzip%22	https://templates.iqonic.design/yofit/html/assets/js/charts/member.js	C:/Users/ABINASH%20DASH/Desktop/Add/admin/templates.iqonic.design/yofit/html/assets/js/charts/member.js	(from https://templates.iqonic.design/yofit/html/backend/members.html)
12:01:18	27267/27267	---M-Z	200	added ('OK')	text/css	etag:%226a83-5dea1baf540b1-gzip%22	https://templates.iqonic.design/yofit/html/assets/vendor/fullcalendar/core/main.css	C:/Users/ABINASH%20DASH/Desktop/Add/admin/templates.iqonic.design/yofit/html/assets/vendor/fullcalendar/core/main.css	(from https://templates.iqonic.design/yofit/html/backend/calender.html)
12:01:19	1807/1807	---M-Z	200	added ('OK')	text/css	etag:%2270f-5dea1baf55ff1-gzip%22	https://templates.iqonic.design/yofit/html/assets/vendor/fullcalendar/daygrid/main.css	C:/Users/ABINASH%20DASH/Desktop/Add/admin/templates.iqonic.design/yofit/html/assets/vendor/fullcalendar/daygrid/main.css	(from https://templates.iqonic.design/yofit/html/backend/calender.html)
12:01:19	7304/7304	---M-Z	200	added ('OK')	text/css	etag:%221c88-5dea1baf58ed0-gzip%22	https://templates.iqonic.design/yofit/html/assets/vendor/fullcalendar/timegrid/main.css	C:/Users/ABINASH%20DASH/Desktop/Add/admin/templates.iqonic.design/yofit/html/assets/vendor/fullcalendar/timegrid/main.css	(from https://templates.iqonic.design/yofit/html/backend/calender.html)
12:01:20	1938/1938	---M-Z	200	added ('OK')	text/css	etag:%22792-5dea1baf56f91-gzip%22	https://templates.iqonic.design/yofit/html/assets/vendor/fullcalendar/list/main.css	C:/Users/ABINASH%20DASH/Desktop/Add/admin/templates.iqonic.design/yofit/html/assets/vendor/fullcalendar/list/main.css	(from https://templates.iqonic.design/yofit/html/backend/calender.html)
12:01:21	80253/80253	---M-Z	200	added ('OK')	application/javascript	etag:%221397d-5dea1baf55ff1-gzip%22	https://templates.iqonic.design/yofit/html/assets/vendor/fullcalendar/daygrid/main.js	C:/Users/ABINASH%20DASH/Desktop/Add/admin/templates.iqonic.design/yofit/html/assets/vendor/fullcalendar/daygrid/main.js	(from https://templates.iqonic.design/yofit/html/backend/calender.html)
12:01:21	372471/372471	---MCZ	200	added ('OK')	application/javascript	etag:%225aef7-5dea1baf55051-gzip%22	https://templates.iqonic.design/yofit/html/assets/vendor/fullcalendar/core/main.js	C:/Users/ABINASH%20DASH/Desktop/Add/admin/templates.iqonic.design/yofit/html/assets/vendor/fullcalendar/core/main.js	(from https://templates.iqonic.design/yofit/html/backend/calender.html)
